name,fallback_url,ical,website
Data Visualization DC,,https://www.meetup.com/data-visualization-dc/events/ical/,https://www.meetup.com/data-visualization-dc/
NOVA Game Developers,,https://www.meetup.com/novagamedevs/events/ical/,https://www.meetup.com/novagamedevs/
HacDC,,https://www.meetup.com/hac-dc/events/ical/,https://www.meetup.com/hac-dc/
DC Kubernetes Meetup,,https://www.meetup.com/DC-Kubernetes-Meetup/events/ical/,https://www.meetup.com/dc-kubernetes-meetup/
Civic Tech DC,,https://www.meetup.com/civic-tech-dc/events/ical/,https://www.meetup.com/Code-for-DC/
Data Engineers DC,,https://www.meetup.com/data-engineers/events/ical/,https://www.meetup.com/data-engineers/
DC Tech Meetup,https://lu.ma/DCTechMeetup,https://api.lu.ma/ics/get?entity=calendar&id=cal-GzmqNpNKPBSmYdl,https://www.dctechmeetup.com/
DC AI Developers Group,,https://www.meetup.com/dc-ai-llms/events/ical/,https://www.meetup.com/dc-ai-llms/
DC Startup and Tech Mixer,,https://www.meetup.com/DCTechMixer/events/ical/,https://www.meetup.com/DCTechMixer/
Data Community DC (DC2),,https://www.meetup.com/data-community-dc/events/ical/,https://www.meetup.com/data-community-dc/
DC Research Software Engineers,,https://www.meetup.com/dc-research-software-engineers/events/ical/,https://www.meetup.com/dc-research-software-engineers/
Power BI DC,,https://www.meetup.com/power-bi-dc/events/ical/,https://www.meetup.com/power-bi-dc/
Data Science DC,,https://www.meetup.com/data-science-dc/events/ical/,https://www.meetup.com/data-science-dc/
DCJUG/DevIgnition,,https://www.meetup.com/dc-jug/events/ical/,https://www.meetup.com/dc-jug/
Dulles Code & Coffee,,https://www.meetup.com/dulles-code-coffee/events/ical/,https://www.meetup.com/dulles-code-coffee/
Northern Virginia Linux Users Group (NoVaLUG),,https://novalug.org/ics/novalug_calendar.ics,https://novalug.org/
Geo DC,,https://www.meetup.com/Geo-DC/events/ical/,https://www.meetup.com/Geo-DC/
Nerd Dinner Tysons,,https://www.meetup.com/Nerd-Dinner-Tysons/events/ical/,https://www.meetup.com/nerd-dinner-tysons/
Hacks/Hackers DC,,https://www.meetup.com/Hacks-Hackers-DC/events/ical/,https://www.meetup.com/Hacks-Hackers-DC/
Generative AI DC,,https://www.meetup.com/genaidc/events/ical/,https://www.meetup.com/genaidc/
DC PyLadies,,https://www.meetup.com/dc-pyladies/events/ical/,https://www.meetup.com/dc-pyladies/
DC Tech Parties,https://lu.ma/dctechparties,https://api.lu.ma/ics/get?entity=calendar&id=cal-mxkaa29dR0YNlaJ,https://www.dctechparties.com/
DC Python Dojo,https://lu.ma/pydistrict,webcal://api.lu.ma/ics/get?entity=calendar&id=cal-Wg8JJjExSGrXXNA,https://pydistrict.org/
Code With Me,,https://www.meetup.com/code-with-me/events/ical/,https://www.meetup.com/code-with-me/
Full Stack Data Science,,https://www.meetup.com/full-stack-data-science/events/ical/,https://www.meetup.com/full-stack-data-science/
Deep Learning Adventures,,https://www.meetup.com/Deep-Learning-Adventures/events/ical/,https://www.meetup.com/Deep-Learning-Adventures/
DC Legal Hackers,,https://www.meetup.com/DCLegalHackers/events/ical/,https://www.meetup.com/DCLegalHackers/
Bitcoin District,,https://www.meetup.com/bitcoin-district/events/ical/,https://www.meetup.com/bitcoin-district/
IGDA DC,,https://www.meetup.com/igda-dc/events/ical/,https://www.meetup.com/igda-dc/
AWS DMV User Group,,https://www.meetup.com/amazon-web-services-dmv/events/ical/,https://www.meetup.com/amazon-web-services-dmv/
DC Bit Devs,,https://www.meetup.com/dc-bit-devs/events/ical/,https://www.meetup.com/dc-bit-devs/
AI Innovators Network,,https://www.meetup.com/ai-innovators-network-tysons-meetup-dc-nova-md/events/ical/,https://www.meetup.com/ai-innovators-network-tysons-meetup-dc-nova-md/
